iter	Passed	Remaining
416	3587	714
417	3595	705
418	3604	696
419	3613	688
420	3621	679
421	3629	670
422	3638	662
423	3647	653
424	3656	645
425	3664	636
426	3673	627
427	3681	619
428	3689	610
429	3698	602
430	3706	593
431	3714	584
432	3723	576
433	3732	567
434	3740	558
435	3749	550
436	3759	541
437	3768	533
438	3777	524
439	3785	516
440	3793	507
441	3802	499
442	3810	490
443	3818	481
444	3826	472
445	3835	464
446	3843	455
447	3851	447
448	3860	438
449	3868	429
450	3876	421
451	3885	412
452	3893	403
453	3902	395
454	3910	386
455	3918	378
456	3928	369
457	3936	360
458	3945	352
459	3954	343
460	3962	335
461	3972	326
462	3981	318
463	3989	309
464	3997	300
465	4005	292
466	4014	283
467	4023	275
468	4030	266
469	4038	257
470	4046	249
471	4053	240
472	4062	231
473	4070	223
474	4079	214
475	4087	206
476	4095	197
477	4103	188
478	4111	180
479	4119	171
480	4128	163
481	4136	154
482	4145	145
483	4154	137
484	4162	128
485	4170	120
486	4179	111
487	4189	103
488	4197	94
489	4206	85
490	4214	77
491	4223	68
492	4232	60
493	4240	51
494	4247	42
495	4257	34
496	4265	25
497	4274	17
498	4282	8
499	4290	0
