iter	RMSE
353	500.7480474
354	500.4185601
355	500.1817562
356	500.0156916
357	499.6299289
358	499.3961353
359	499.1983648
360	499.0319732
361	498.7789126
362	498.6000934
363	498.5104732
364	498.2076722
365	497.9513367
366	497.8548332
367	497.6972204
368	497.5925119
369	497.4588844
370	497.2639425
371	496.981648
372	496.8265804
373	496.6408832
374	496.5133686
375	496.4353785
376	496.3025933
377	496.1265677
378	495.978573
379	495.6498953
380	495.3931428
381	495.1705431
382	494.983187
383	494.5989226
384	494.4130777
385	494.3509698
386	494.2315612
387	494.0125455
388	493.8539966
389	493.7196828
390	493.515672
391	493.3953902
392	493.2194159
393	493.0196545
394	492.7764396
395	492.4319342
396	492.1542054
397	492.0314093
398	491.8718209
399	491.7041842
400	491.2497299
401	491.130271
402	490.8589357
403	490.5486452
404	490.3359994
405	490.1451658
406	489.9407833
407	489.7629798
408	489.5377928
409	489.408642
410	489.050788
411	488.8220011
412	488.5958414
413	488.4799892
414	488.258615
415	488.0519525
416	487.8894506
417	487.5789115
418	487.4388707
419	487.2107376
420	487.0028459
421	486.8803748
422	486.6723084
423	486.3740044
424	486.2298355
425	486.02957
426	485.8561718
427	485.7113188
428	485.4767407
429	485.3140031
430	485.1814946
431	484.8980586
432	484.809736
433	484.6564228
434	484.4751904
435	484.3173169
436	484.2182372
437	484.0818525
438	484.0170131
439	483.6082714
440	483.5050042
441	483.284689
442	483.0679352
443	482.9788556
444	482.6490241
445	482.5392441
446	482.3330942
447	482.1677565
448	482.0703244
449	481.7369821
450	481.6366476
451	481.5496248
452	481.3396479
453	481.2116913
454	481.0668417
455	480.973582
456	480.874196
457	480.6776486
458	480.5994648
459	480.4375026
460	480.055487
461	479.7549916
462	479.6744738
463	479.5751772
464	479.2086161
465	479.0677426
466	478.9158676
467	478.8420582
468	478.680731
469	478.5694105
470	478.4948967
471	478.2039965
472	478.0777641
473	477.9255001
474	477.8188977
475	477.6764516
476	477.5768553
477	477.4607296
478	477.280348
479	476.9301179
480	476.7487363
481	476.6092416
482	476.4694391
483	476.255377
484	476.1274745
485	475.97771
486	475.8645372
487	475.6869829
488	475.6110935
489	475.5443918
490	475.455071
491	475.1537894
492	475.0582406
493	474.9783417
494	474.7934891
495	474.6663066
496	474.5682095
497	474.4934467
498	474.3863378
499	474.2986532
